# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.load.initial.state.ms,1764466247180000000,1764466271909000000,4
jps.global.get.libraries.ms,1764466247180000000,1764466271909000000,0
jps.facet.change.listener.init.bridge.ms,1764466247180000000,1764466271909000000,0
workspaceModel.global.apply.state.to.project.ms,1764466247180000000,1764466271909000000,21
jps.global.initialize.library.bridges.after.loading.ms,1764466247180000000,1764466271909000000,0
workspaceModel.global.updates.count,1764466247180000000,1764466271909000000,0
jps.save.changed.project.entities.ms,1764466247180000000,1764466271909000000,1
jps.module.iml.entities.serializer.load.entities.ms,1764466247180000000,1764466271909000000,13
workspaceModel.sync.entities.ms,1764466247180000000,1764466271909000000,0
jps.global.handle.before.change.events.ms,1764466247180000000,1764466271909000000,0
workspaceModel.global.updates.ms,1764466247180000000,1764466271909000000,0
workspaceModel.load.cache.from.file.ms,1764466247180000000,1764466271909000000,82
jps.global.get.library.by.name.ms,1764466247180000000,1764466271909000000,0
workspaceModel.moduleBridge.before.changed.ms,1764466247180000000,1764466271909000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1764466247180000000,1764466271909000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1764466247180000000,1764466271909000000,0
jps.reload.project.entities.ms,1764466247180000000,1764466271909000000,0
jps.artifact.entities.serializer.load.entities.ms,1764466247180000000,1764466271909000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1764466247180000000,1764466271909000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1764466247180000000,1764466271909000000,0
jps.save.global.entities.ms,1764466247180000000,1764466271909000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1764466247180000000,1764466271909000000,0
jps.app.storage.content.reader.load.component.ms,1764466247180000000,1764466271909000000,0
jps.library.entities.serializer.load.entities.ms,1764466247180000000,1764466271909000000,0
jps.app.storage.content.writer.save.component.ms,1764466247180000000,1764466271909000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1764466247180000000,1764466271909000000,3
jps.project.serializers.save.ms,1764466247180000000,1764466271909000000,1
jps.global.get.library.ms,1764466247180000000,1764466271909000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1764466247180000000,1764466271909000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1764466247180000000,1764466271909000000,11
workspaceModel.mutableEntityStorage.replace.by.source.ms,1764466247180000000,1764466271909000000,9
jps.module.iml.entities.serializer.save.entities.ms,1764466247180000000,1764466271909000000,0
jps.artifact.entities.serializer.save.entities.ms,1764466247180000000,1764466271909000000,0
jps.apply.loaded.storage.ms,1764466247180000000,1764466271909000000,13
workspaceModel.mutableEntityStorage.referrers.ms,1764466247180000000,1764466271909000000,0
jps.library.entities.serializer.save.entities.ms,1764466247180000000,1764466271909000000,0
FlushQueue.waitingTimeAvgNs,1764466247180000000,1764466271909000000,6.513158505365854E7
FlushQueue.executionTime90PNs,1764466247180000000,1764466271909000000,1048575
FlushQueue.queueSizeAvg,1764466247180000000,1764466271909000000,10.78130081300813
NonBlockingReadAction.finalizedExecutionsCount,1764466247180000000,1764466271909000000,31
FlushQueue.tasksExecuted,1764466247180000000,1764466271909000000,1230
FlushQueue.queueSize90P,1764466247180000000,1764466271909000000,40
AWTEventQueue.eventsDispatched,1764466247180000000,1764466271909000000,4045
FlushQueue.queueSizeMax,1764466247180000000,1764466271909000000,59
AWTEventQueue.dispatchTime90PNs,1764466247180000000,1764466271909000000,1073151
NonBlockingReadAction.failedExecutionsCount,1764466247180000000,1764466271909000000,0
NonBlockingReadAction.failedExecutionTimeUs,1764466247180000000,1764466271909000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1764466247180000000,1764466271909000000,212911
AWTEventQueue.dispatchTimeTotalNS,1764466247180000000,1764466271909000000,5052463224
FlushQueue.executionTimeAvgNs,1764466247180000000,1764466271909000000,1967406.8536585367
AWTEventQueue.dispatchTimeMaxNs,1764466247180000000,1764466271909000000,257949695
FlushQueue.waitingTime90PNs,1764466247180000000,1764466271909000000,258998271
FlushQueue.waitingTimeMaxNs,1764466247180000000,1764466271909000000,484442111
FlushQueue.executionTimeMaxNs,1764466247180000000,1764466271909000000,257949695
AWTEventQueue.dispatchTimeAvgNs,1764466247180000000,1764466271909000000,1249136.9058096416
FileNameCache.queries,1764466247180000000,1764466271909000000,10477
FileNameCache.totalMisses,1764466247180000000,1764466271909000000,281
FileNameCache.fastMisses,1764466247180000000,1764466271909000000,307
