# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
AWTEventQueue.dispatchTimeMaxNs,1764466160267000000,1764466220278000000,398458879
FlushQueue.waitingTimeAvgNs,1764466160267000000,1764466220278000000,5.9586478345714286E7
FlushQueue.executionTimeMaxNs,1764466160267000000,1764466220278000000,398458879
AWTEventQueue.eventsDispatched,1764466160267000000,1764466220278000000,6393
FlushQueue.queueSizeAvg,1764466160267000000,1764466220278000000,9.172857142857143
FlushQueue.queueSizeMax,1764466160267000000,1764466220278000000,66
AWTEventQueue.dispatchTimeAvgNs,1764466160267000000,1764466220278000000,898419.6277178164
FlushQueue.queueSize90P,1764466160267000000,1764466220278000000,34
AWTEventQueue.dispatchTimeTotalNS,1764466160267000000,1764466220278000000,5743133225
FlushQueue.executionTimeAvgNs,1764466160267000000,1764466220278000000,1850322.8042857142
AWTEventQueue.dispatchTime90PNs,1764466160267000000,1764466220278000000,655359
FlushQueue.executionTime90PNs,1764466160267000000,1764466220278000000,909311
FlushQueue.waitingTimeMaxNs,1764466160267000000,1764466220278000000,526385151
NonBlockingReadAction.failedExecutionTimeUs,1764466160267000000,1764466220278000000,11387
NonBlockingReadAction.finalizedExecutionTimeUs,1764466160267000000,1764466220278000000,203560
FlushQueue.waitingTime90PNs,1764466160267000000,1764466220278000000,251658239
NonBlockingReadAction.finalizedExecutionsCount,1764466160267000000,1764466220278000000,28
FlushQueue.tasksExecuted,1764466160267000000,1764466220278000000,1400
NonBlockingReadAction.failedExecutionsCount,1764466160267000000,1764466220278000000,16
FileNameCache.queries,1764466160267000000,1764466220278000000,10991
FileNameCache.totalMisses,1764466160267000000,1764466220278000000,281
FileNameCache.fastMisses,1764466160267000000,1764466220278000000,313
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1764466160267000000,1764466220278000000,248545280
FilePageCache.totalPageDisposalsUs,1764466160267000000,1764466220278000000,981
DirectByteBufferAllocator.disposed,1764466160267000000,1764466220278000000,0
StreamlinedBlobStorage.recordsAllocated,1764466160267000000,1764466220278000000,2687
FilePageCache.maxRegisteredFiles,1764466160267000000,1764466220278000000,617
FilePageCache.pageHits,1764466160267000000,1764466220278000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1764466160267000000,1764466220278000000,67568
DirectByteBufferAllocator.reclaimed,1764466160267000000,1764466220278000000,3
FilePageCache.maxCacheSizeInBytes,1764466160267000000,1764466220278000000,248545280
StorageLockContext.competingThreads.max,1764466160267000000,1764466220278000000,7
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1764466160267000000,1764466220278000000,211416
StreamlinedBlobStorage.recordsRelocated,1764466160267000000,1764466220278000000,0
FilePageCache.disposedBuffers,1764466160267000000,1764466220278000000,3
StorageLockContext.competingThreads.avg,1764466160267000000,1764466220278000000,0.059322033898305086
StreamlinedBlobStorage.recordsDeleted,1764466160267000000,1764466220278000000,17
FilePageCache.pageLoads,1764466160267000000,1764466220278000000,235
StorageLockContext.competingThreads.90P,1764466160267000000,1764466220278000000,0
FilePageCache.uncachedFileAccess,1764466160267000000,1764466220278000000,125
FilePageCache.totalPageLoadsUs,1764466160267000000,1764466220278000000,249263
FilePageCache.pageLoadsAboveSizeThreshold,1764466160267000000,1764466220278000000,0
FilePageCache.capacityInBytes,1764466160267000000,1764466220278000000,524288000
DirectByteBufferAllocator.misses,1764466160267000000,1764466220278000000,232
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1764466160267000000,1764466220278000000,0
DirectByteBufferAllocator.hits,1764466160267000000,1764466220278000000,3
FilePageCache.pageFastCacheHits,1764466160267000000,1764466220278000000,5649
workspaceModel.initializing.ms,1764466160267000000,1764466220278000000,1
workspaceModel.loading.from.cache.ms,1764466160267000000,1764466220278000000,156
workspaceModel.check.recursive.update.ms,1764466160267000000,1764466220278000000,1
workspaceModel.updates.ms,1764466160267000000,1764466220278000000,48
workspaceModel.updates.precise.ms,1764466160267000000,1764466220278000000,20
workspaceModel.pre.handlers.ms,1764466160267000000,1764466220278000000,1
workspaceModel.collect.changes.ms,1764466160267000000,1764466220278000000,0
workspaceModel.updates.count,1764466160267000000,1764466220278000000,3
workspaceModel.update.unloaded.entities.ms,1764466160267000000,1764466220278000000,0
workspaceModel.to.snapshot.ms,1764466160267000000,1764466220278000000,0
workspaceModel.replace.project.model.ms,1764466160267000000,1764466220278000000,0
workspaceModel.init.bridges.ms,1764466160267000000,1764466220278000000,1
workspaceModel.loading.total.ms,1764466160267000000,1764466220278000000,173
jps.global.handle.changed.events.ms,1764466160267000000,1764466220278000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1764466160267000000,1764466220278000000,4
workspaceModel.mutableEntityStorage.modify.entity.ms,1764466160267000000,1764466220278000000,2
workspaceModel.mutableEntityStorage.add.entity.ms,1764466160267000000,1764466220278000000,11
jps.load.initial.state.ms,1764466160267000000,1764466220278000000,6
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1764466160267000000,1764466220278000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1764466160267000000,1764466220278000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1764466160267000000,1764466220278000000,0
workspaceModel.orphan.listener.update.ms,1764466160267000000,1764466220278000000,3
workspaceModel.moduleManagerBridge.build.module.graph.ms,1764466160267000000,1764466220278000000,5
jps.project.serializers.load.ms,1764466160267000000,1764466220278000000,28
workspaceModel.mutableEntityStorage.replace.by.source.ms,1764466160267000000,1764466220278000000,8
workspaceModel.global.apply.state.to.project.builder.ms,1764466160267000000,1764466220278000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1764466160267000000,1764466220278000000,386
jps.global.get.library.by.name.ms,1764466160267000000,1764466220278000000,0
jps.global.initialize.library.bridges.ms,1764466160267000000,1764466220278000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1764466160267000000,1764466220278000000,0
jps.storage.jps.conf.reader.load.component.ms,1764466160267000000,1764466220278000000,6
jps.facet.change.listener.init.bridge.ms,1764466160267000000,1764466220278000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1764466160267000000,1764466220278000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1764466160267000000,1764466220278000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1764466160267000000,1764466220278000000,0
jps.library.entities.serializer.load.entities.ms,1764466160267000000,1764466220278000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1764466160267000000,1764466220278000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1764466160267000000,1764466220278000000,102
workspaceModel.moduleManagerBridge.get.modules.ms,1764466160267000000,1764466220278000000,0
jps.project.serializers.save.ms,1764466160267000000,1764466220278000000,1
jps.global.get.libraries.ms,1764466160267000000,1764466220278000000,0
jps.artifact.entities.serializer.save.entities.ms,1764466160267000000,1764466220278000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1764466160267000000,1764466220278000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1764466160267000000,1764466220278000000,0
jps.module.iml.entities.serializer.load.entities.ms,1764466160267000000,1764466220278000000,14
workspaceModel.moduleBridge.facet.initialization.ms,1764466160267000000,1764466220278000000,1
jps.global.handle.before.change.events.ms,1764466160267000000,1764466220278000000,0
workspaceModel.mutableEntityStorage.entities.ms,1764466160267000000,1764466220278000000,1
jps.load.project.to.empty.storage.ms,1764466160267000000,1764466220278000000,60
jps.global.initialize.library.bridges.after.loading.ms,1764466160267000000,1764466220278000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1764466160267000000,1764466220278000000,0
workspaceModel.sync.entities.ms,1764466160267000000,1764466220278000000,0
workspaceModel.global.apply.state.to.project.ms,1764466160267000000,1764466220278000000,27
workspaceModel.moduleBridge.before.changed.ms,1764466160267000000,1764466220278000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1764466160267000000,1764466220278000000,0
workspaceModel.global.updates.ms,1764466160267000000,1764466220278000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1764466160267000000,1764466220278000000,0
jps.global.get.library.ms,1764466160267000000,1764466220278000000,0
jps.app.storage.content.writer.save.component.ms,1764466160267000000,1764466220278000000,0
jps.reload.project.entities.ms,1764466160267000000,1764466220278000000,0
jps.save.global.entities.ms,1764466160267000000,1764466220278000000,0
jps.app.storage.content.reader.load.component.ms,1764466160267000000,1764466220278000000,0
workspaceModel.load.cache.from.file.ms,1764466160267000000,1764466220278000000,154
workspaceModel.mutableEntityStorage.put.entity.ms,1764466160267000000,1764466220278000000,6
