# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.global.updates.ms,1764465381423000000,1764465441435000000,0
jps.global.initialize.library.bridges.ms,1764465381423000000,1764465441435000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1764465381423000000,1764465441435000000,3
workspaceModel.mutableEntityStorage.collect.changes.ms,1764465381423000000,1764465441435000000,1
workspaceModel.save.cache.to.file.ms,1764465381423000000,1764465441435000000,36
workspaceModel.moduleBridgeLoader.loading.modules.ms,1764465381423000000,1764465441435000000,78
workspaceModel.orphan.listener.update.ms,1764465381423000000,1764465441435000000,1
jps.load.initial.state.ms,1764465381423000000,1764465441435000000,5
workspaceModel.mutableEntityStorage.add.entity.ms,1764465381423000000,1764465441435000000,16
jps.library.entities.serializer.save.entities.ms,1764465381423000000,1764465441435000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1764465381423000000,1764465441435000000,2
workspaceModel.moduleBridge.facet.initialization.ms,1764465381423000000,1764465441435000000,0
jps.modifiable.module.model.bridge.disposing.ms,1764465381423000000,1764465441435000000,0
workspaceModel.moduleBridge.update.option.ms,1764465381423000000,1764465441435000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1764465381423000000,1764465441435000000,0
jps.global.get.library.by.name.ms,1764465381423000000,1764465441435000000,0
jps.app.storage.content.reader.load.component.ms,1764465381423000000,1764465441435000000,0
jps.global.handle.changed.events.ms,1764465381423000000,1764465441435000000,0
jps.load.project.to.empty.storage.ms,1764465381423000000,1764465441435000000,27
jps.module.iml.entities.serializer.save.entities.ms,1764465381423000000,1764465441435000000,8
jps.facet.change.listener.init.bridge.ms,1764465381423000000,1764465441435000000,1
workspaceModel.mutableEntityStorage.to.snapshot.ms,1764465381423000000,1764465441435000000,1
workspaceModel.mutableEntityStorage.entities.by.source.ms,1764465381423000000,1764465441435000000,0
workspaceModel.global.updates.count,1764465381423000000,1764465441435000000,0
jps.module.iml.entities.serializer.load.entities.ms,1764465381423000000,1764465441435000000,0
