# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.pageLoads,1764466002758000000,1764466062773000000,241
FilePageCache.pageLoadsAboveSizeThreshold,1764466002758000000,1764466062773000000,0
DirectByteBufferAllocator.reclaimed,1764466002758000000,1764466062773000000,3
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1764466002758000000,1764466062773000000,254836736
DirectByteBufferAllocator.disposed,1764466002758000000,1764466062773000000,0
FilePageCache.capacityInBytes,1764466002758000000,1764466062773000000,524288000
StorageLockContext.competingThreads.max,1764466002758000000,1764466062773000000,0
StreamlinedBlobStorage.recordsDeleted,1764466002758000000,1764466062773000000,17
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1764466002758000000,1764466062773000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1764466002758000000,1764466062773000000,211416
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1764466002758000000,1764466062773000000,67568
StreamlinedBlobStorage.recordsAllocated,1764466002758000000,1764466062773000000,2687
FilePageCache.pageFastCacheHits,1764466002758000000,1764466062773000000,5810
FilePageCache.maxCacheSizeInBytes,1764466002758000000,1764466062773000000,254836736
DirectByteBufferAllocator.misses,1764466002758000000,1764466062773000000,238
FilePageCache.maxRegisteredFiles,1764466002758000000,1764466062773000000,617
FilePageCache.totalPageDisposalsUs,1764466002758000000,1764466062773000000,300
StorageLockContext.competingThreads.avg,1764466002758000000,1764466062773000000,0.0
FilePageCache.totalPageLoadsUs,1764466002758000000,1764466062773000000,144607
FilePageCache.pageHits,1764466002758000000,1764466062773000000,0
StorageLockContext.competingThreads.90P,1764466002758000000,1764466062773000000,0
DirectByteBufferAllocator.hits,1764466002758000000,1764466062773000000,3
StreamlinedBlobStorage.recordsRelocated,1764466002758000000,1764466062773000000,0
FilePageCache.disposedBuffers,1764466002758000000,1764466062773000000,3
FilePageCache.uncachedFileAccess,1764466002758000000,1764466062773000000,125
workspaceModel.update.unloaded.entities.ms,1764466002758000000,1764466062773000000,0
workspaceModel.collect.changes.ms,1764466002758000000,1764466062773000000,0
workspaceModel.pre.handlers.ms,1764466002758000000,1764466062773000000,1
workspaceModel.updates.ms,1764466002758000000,1764466062773000000,54
workspaceModel.init.bridges.ms,1764466002758000000,1764466062773000000,1
workspaceModel.updates.count,1764466002758000000,1764466062773000000,3
workspaceModel.loading.from.cache.ms,1764466002758000000,1764466062773000000,74
workspaceModel.initializing.ms,1764466002758000000,1764466062773000000,1
workspaceModel.updates.precise.ms,1764466002758000000,1764466062773000000,15
workspaceModel.loading.total.ms,1764466002758000000,1764466062773000000,82
workspaceModel.replace.project.model.ms,1764466002758000000,1764466062773000000,0
workspaceModel.check.recursive.update.ms,1764466002758000000,1764466062773000000,0
workspaceModel.to.snapshot.ms,1764466002758000000,1764466062773000000,1
jps.storage.jps.conf.reader.load.component.ms,1764466002758000000,1764466062773000000,8
workspaceModel.moduleBridge.before.changed.ms,1764466002758000000,1764466062773000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1764466002758000000,1764466062773000000,0
jps.global.handle.changed.events.ms,1764466002758000000,1764466062773000000,0
workspaceModel.global.apply.state.to.project.ms,1764466002758000000,1764466062773000000,23
workspaceModel.mutableEntityStorage.collect.changes.ms,1764466002758000000,1764466062773000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1764466002758000000,1764466062773000000,107
workspaceModel.global.updates.ms,1764466002758000000,1764466062773000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1764466002758000000,1764466062773000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1764466002758000000,1764466062773000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1764466002758000000,1764466062773000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1764466002758000000,1764466062773000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1764466002758000000,1764466062773000000,1
workspaceModel.mutableEntityStorage.remove.entity.ms,1764466002758000000,1764466062773000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1764466002758000000,1764466062773000000,1
workspaceModel.load.cache.from.file.ms,1764466002758000000,1764466062773000000,73
jps.project.serializers.save.ms,1764466002758000000,1764466062773000000,1
workspaceModel.global.updates.count,1764466002758000000,1764466062773000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1764466002758000000,1764466062773000000,1
workspaceModel.global.apply.state.to.project.builder.ms,1764466002758000000,1764466062773000000,0
jps.apply.loaded.storage.ms,1764466002758000000,1764466062773000000,48
workspaceModel.moduleManagerBridge.get.modules.ms,1764466002758000000,1764466062773000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1764466002758000000,1764466062773000000,11
jps.artifact.entities.serializer.load.entities.ms,1764466002758000000,1764466062773000000,0
jps.facet.change.listener.init.bridge.ms,1764466002758000000,1764466062773000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1764466002758000000,1764466062773000000,4
workspaceModel.save.cache.to.file.ms,1764466002758000000,1764466062773000000,49
workspaceModel.mutableEntityStorage.add.diff.ms,1764466002758000000,1764466062773000000,5
jps.global.get.library.ms,1764466002758000000,1764466062773000000,0
jps.facet.change.listener.process.change.events.ms,1764466002758000000,1764466062773000000,0
jps.artifact.entities.serializer.save.entities.ms,1764466002758000000,1764466062773000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1764466002758000000,1764466062773000000,29
workspaceModel.moduleManagerBridge.newModule.ms,1764466002758000000,1764466062773000000,0
jps.global.get.libraries.ms,1764466002758000000,1764466062773000000,0
workspaceModel.moduleBridge.update.option.ms,1764466002758000000,1764466062773000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1764466002758000000,1764466062773000000,0
jps.app.storage.content.reader.load.component.ms,1764466002758000000,1764466062773000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1764466002758000000,1764466062773000000,9
jps.global.handle.before.change.events.ms,1764466002758000000,1764466062773000000,0
